,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 33_level_0,Team,Unnamed: 4_level_0
,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,,MP
9,Tanguy Nianzou,fr FRA,DF,22-154,,6,518.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.2,0.2,0.0,0.2,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Sevilla,6.0
10,Peque,es ESP,"MF,FW",22-035,,6,501.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3,1.3,0.7,2.0,6.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.23,0.13,0.36,0.23,0.36,Matches,Sevilla,9.0
11,Juanlu Sánchez,es ESP,"MF,DF",21-085,,5,460.0,5.1,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.9,0.9,0.2,1.1,8.0,14.0,19.0,0.2,0.2,0.39,0.2,0.39,0.17,0.04,0.21,0.17,0.21,Matches,Sevilla,8.0
12,Marcão,br BRA,DF,28-156,,5,456.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,8.0
13,Djibril Sow,ch SUI,MF,27-276,,4,416.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.1,1.1,6.0,24.0,13.0,0.0,0.0,0.0,0.0,0.0,0.21,0.03,0.23,0.21,0.23,Matches,Sevilla,9.0
14,Albert Sambi Lokonga,be BEL,MF,25-017,,4,386.0,4.3,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,6.0,20.0,3.0,0.0,0.23,0.23,0.0,0.23,0.01,0.06,0.06,0.01,0.06,Matches,Sevilla,6.0
15,Saúl Ñíguez,es ESP,MF,29-353,,4,320.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.8,0.8,0.4,1.2,2.0,22.0,11.0,0.0,0.28,0.28,0.0,0.28,0.21,0.13,0.34,0.21,0.34,Matches,Sevilla,4.0
16,Kike Salas,es ESP,DF,22-199,,3,288.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches,Sevilla,7.0
17,Kelechi Iheanacho,ng NGA,FW,28-036,,3,282.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.2,1.6,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.45,0.06,0.52,0.45,0.52,Matches,Sevilla,6.0
18,Valentín Barco,ar ARG,"DF,FW",20-108,,3,278.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.9,3.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.09,0.2,0.29,0.09,0.29,Matches,Sevilla,6.0
19,Jesús Navas,es ESP,"FW,MF",38-353,,2,287.0,3.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.9,5.0,11.0,36.0,0.31,0.0,0.31,0.31,0.31,0.16,0.13,0.29,0.16,0.29,Matches,Sevilla,10.0
20,Lucas Ocampos,ar ARG,FW,30-120,,2,175.0,1.9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,5.0,7.0,20.0,0.0,0.51,0.51,0.0,0.51,0.08,0.17,0.25,0.08,0.25,Matches,Sevilla,2.0
21,Stanis Idumbo,be BEL,FW,19-132,,2,116.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,4.0,1.0,3.0,0.78,0.0,0.78,0.78,0.78,0.43,0.0,0.43,0.43,0.43,Matches,Sevilla,4.0
22,Álvaro Fernández,es ESP,GK,26-209,,1,117.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,Matches,Sevilla,2.0
23,Suso,es ESP,"FW,MF",30-355,,0,97.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,3.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2,0.19,0.39,0.2,0.39,Matches,Sevilla,4.0
24,Israel Domínguez,es ESP,FW,21-185,,0,18.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,1.0
25,Gonzalo Montiel,ar ARG,"MF,DF",27-312,,0,12.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,Matches,Sevilla,3.0
26,Mateo Mejía,es ESP,FW,21-222,,0,11.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Sevilla,1.0
27,Matías Árbol,es ESP,GK,22-057,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sevilla,0.0
28,Manu Bueno,es ESP,MF,20-104,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sevilla,0.0
29,Pablo Cruz,es ESP,MF,20-302,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sevilla,0.0
30,Alberto López,es ESP,GK,20-364,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sevilla,0.0
31,Alberto López,es ESP,MF,19-206,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sevilla,0.0
32,Ramón Martínez,es ESP,DF,22-017,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sevilla,0.0
33,Pedro Ortiz,es ESP,MF,24-081,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Sevilla,0.0
34,Squad Total,,,26.6,,132,1080.0,12.0,9.0,7.0,16.0,8.0,1.0,1.0,34.0,4.0,13.9,13.2,8.8,21.9,198.0,352.0,347.0,0.75,0.58,1.33,0.67,1.25,1.16,0.73,1.89,1.1,1.83,,Sevilla,12.0
35,Opponent Total,,,26.9,,132,1080.0,12.0,16.0,9.0,25.0,13.0,3.0,3.0,25.0,1.0,16.8,14.4,11.0,25.5,136.0,378.0,376.0,1.33,0.75,2.08,1.08,1.83,1.4,0.92,2.32,1.2,2.12,,Sevilla,12.0
0,Antonio Sivera,es ESP,GK,28-089,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Alaves,12.0
1,Carlos Vicente,es ESP,"FW,MF",25-199,,11,977.0,10.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.4,1.4,1.4,2.8,30.0,16.0,64.0,0.18,0.0,0.18,0.18,0.18,0.13,0.13,0.26,0.13,0.26,Matches,Alaves,11.0
2,Abdel Abqar,ma MAR,DF,25-243,,11,858.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,0.1,0.5,10.0,29.0,3.0,0.0,0.1,0.1,0.0,0.1,0.04,0.01,0.06,0.04,0.06,Matches,Alaves,11.0
3,Nahuel Tenaglia,ar ARG,DF,28-261,,10,855.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.2,0.2,0.4,0.6,10.0,23.0,32.0,0.11,0.11,0.21,0.11,0.21,0.02,0.04,0.06,0.02,0.06,Matches,Alaves,10.0
4,Manu Sánchez,es ESP,DF,24-076,,9,854.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.2,0.3,22.0,32.0,22.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,Matches,Alaves,11.0
5,Antonio Blanco,es ESP,MF,24-108,,8,676.0,7.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.5,1.0,1.0,42.0,5.0,0.0,0.13,0.13,0.0,0.13,0.07,0.07,0.14,0.07,0.14,Matches,Alaves,11.0
6,Ander Guevara,es ESP,MF,27-124,,7,693.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.8,9.0,41.0,9.0,0.0,0.13,0.13,0.0,0.13,0.05,0.06,0.11,0.05,0.11,Matches,Alaves,11.0
7,Jon Guridi,es ESP,MF,29-254,,7,622.0,6.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.5,0.9,11.0,34.0,27.0,0.14,0.0,0.14,0.14,0.14,0.07,0.07,0.14,0.07,0.14,Matches,Alaves,10.0
8,Moussa Diarra,ml MLI,DF,23-364,,6,560.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Alaves,8.0
9,Stoichkov,es ESP,"MF,FW",31-003,,6,545.0,6.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.9,1.2,2.1,8.0,22.0,29.0,0.0,0.17,0.17,0.0,0.17,0.15,0.19,0.35,0.15,0.35,Matches,Alaves,10.0
10,Tomás Conechny,ar ARG,"FW,MF",26-223,,6,451.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,0.2,1.5,8.0,5.0,35.0,0.2,0.0,0.2,0.2,0.2,0.26,0.05,0.31,0.26,0.31,Matches,Alaves,7.0
11,Kiké,es ESP,FW,34-349,,5,525.0,5.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,1.0,1.3,1.3,0.3,1.7,0.0,13.0,23.0,0.51,0.0,0.51,0.51,0.51,0.23,0.06,0.29,0.23,0.29,Matches,Alaves,11.0
12,Toni Martínez,es ESP,FW,27-131,,5,438.0,4.9,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.4,1.4,0.4,1.8,3.0,2.0,21.0,0.62,0.0,0.62,0.62,0.62,0.28,0.08,0.37,0.28,0.37,Matches,Alaves,9.0
13,Aleksandar Sedlar,rs SRB,DF,32-331,,5,409.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Alaves,5.0
14,Carlos Benavídez,uy URU,MF,26-223,,4,230.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.1,0.1,0.6,0.7,2.0,10.0,2.0,0.39,0.39,0.78,0.39,0.78,0.04,0.24,0.27,0.04,0.27,Matches,Alaves,6.0
15,Pica,es ESP,DF,22-312,,3,314.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Alaves,5.0
16,Abderrahman Rebbach,dz ALG,"FW,MF",26-089,,3,310.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,13.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.13,0.04,0.13,Matches,Alaves,6.0
17,Santiago Mouriño,uy URU,DF,22-269,,3,277.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.2,0.3,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.06,0.09,0.03,0.09,Matches,Alaves,6.0
18,Carlos Martín,es ESP,"FW,MF",22-200,,3,251.0,2.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.1,1.1,0.3,1.4,3.0,2.0,16.0,0.36,0.0,0.36,0.36,0.36,0.39,0.11,0.5,0.39,0.5,Matches,Alaves,6.0
19,Joan Jordán,es ESP,MF,30-125,,2,306.0,3.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5,0.2,0.7,2.0,32.0,7.0,0.0,0.29,0.29,0.0,0.29,0.16,0.05,0.21,0.16,0.21,Matches,Alaves,6.0
20,Hugo Novoa,es ESP,"DF,FW",21-312,,2,222.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.2,0.7,6.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.2,0.07,0.26,0.2,0.26,Matches,Alaves,4.0
21,Asier Villalibre,es ESP,FW,27-039,,2,213.0,2.4,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.4,0.6,0.0,0.6,2.0,4.0,11.0,0.42,0.0,0.42,0.0,0.0,0.57,0.0,0.57,0.24,0.24,Matches,Alaves,7.0
22,Luka Romero,ar ARG,"FW,MF",19-356,,2,185.0,2.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.0,0.1,0.1,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.4,0.03,0.42,0.01,0.04,Matches,Alaves,5.0
23,Luis Rioja,es ESP,FW,31-023,,0,23.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.57,0.0,0.57,Matches,Alaves,1.0
24,Alejandro Jay Agustín,es ESP,MF,22-124,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,0.0
25,Julen Lartitegi,es ESP,FW,21-040,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,0.0
26,Egoitz Muñoz,es ESP,DF,19-312,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,0.0
27,Eneko Ortiz,es ESP,MF,21-166,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,0.0
28,Jesús Owono,gq EQG,GK,23-252,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,0.0
29,Joaquín Panichelli,ar ARG,FW,22-032,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,0.0
30,Adrian Rodriguez,es ESP,GK,23-332,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Alaves,0.0
31,Squad Total,,,27.0,,132,1080.0,12.0,14.0,7.0,21.0,13.0,1.0,2.0,35.0,2.0,13.1,11.5,7.7,19.2,158.0,372.0,367.0,1.17,0.58,1.75,1.08,1.67,1.09,0.64,1.73,0.96,1.6,,Alaves,12.0
32,Opponent Total,,,27.1,,132,1080.0,12.0,18.0,13.0,31.0,14.0,4.0,4.0,31.0,2.0,17.0,13.9,12.7,26.6,177.0,368.0,360.0,1.5,1.08,2.58,1.17,2.25,1.41,1.06,2.47,1.16,2.21,,Alaves,12.0
0,Sergi,es ESP,DF,32-202,,11,1032.0,11.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.8,0.8,0.0,0.9,3.0,24.0,1.0,0.09,0.0,0.09,0.09,0.09,0.07,0.0,0.07,0.07,0.07,Matches,Leganes,12.0
1,Seydouba Cissé,gn GUI,MF,23-272,,10,820.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.4,11.0,46.0,16.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Leganes,12.0
2,Valentin Rosier,fr FRA,DF,28-081,,9,858.0,9.5,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.3,0.4,11.0,13.0,27.0,0.0,0.1,0.1,0.0,0.1,0.01,0.03,0.05,0.01,0.05,Matches,Leganes,11.0
3,Yvan Neyou,cm CMR,MF,27-310,,8,699.0,7.8,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.1,0.1,0.2,0.3,8.0,33.0,9.0,0.13,0.13,0.26,0.13,0.26,0.02,0.02,0.04,0.02,0.04,Matches,Leganes,9.0
4,Juan Cruz,es ESP,"FW,MF",24-197,,8,695.0,7.7,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,1.3,1.3,1.2,2.5,23.0,30.0,46.0,0.52,0.13,0.65,0.52,0.65,0.16,0.15,0.32,0.16,0.32,Matches,Leganes,12.0
5,Javi Hernández,es ESP,DF,26-190,,8,691.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.9,1.1,16.0,22.0,37.0,0.0,0.13,0.13,0.0,0.13,0.03,0.11,0.14,0.03,0.14,Matches,Leganes,9.0
6,Miguel,es ESP,FW,25-066,,7,693.0,7.7,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.1,1.1,0.6,1.7,9.0,5.0,39.0,0.0,0.13,0.13,0.0,0.13,0.14,0.08,0.22,0.14,0.22,Matches,Leganes,11.0
7,Jorge Sáenz,es ESP,DF,27-357,,7,521.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.0,0.4,3.0,9.0,0.0,0.17,0.0,0.17,0.17,0.17,0.07,0.0,0.07,0.07,0.07,Matches,Leganes,7.0
8,Darko Brašanac,rs SRB,MF,32-270,,6,626.0,7.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.2,1.1,1.0,23.0,19.0,0.14,0.29,0.43,0.14,0.43,0.14,0.03,0.16,0.14,0.16,Matches,Leganes,11.0
9,Matija Nastasić,rs SRB,DF,31-225,,6,585.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leganes,7.0
10,Renato Tapia,pe PER,"MF,DF",29-103,,6,553.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.2,0.2,0.0,0.2,5.0,17.0,7.0,0.16,0.0,0.16,0.16,0.16,0.03,0.01,0.03,0.03,0.03,Matches,Leganes,11.0
11,Enric Franquesa,es ESP,"DF,FW",27-256,,6,550.0,6.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.3,0.3,0.1,0.4,6.0,11.0,25.0,0.16,0.0,0.16,0.16,0.16,0.05,0.02,0.07,0.05,0.07,Matches,Leganes,11.0
12,Marko Dmitrović,rs SRB,GK,32-289,,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leganes,6.0
13,Juan Soriano,es ESP,GK,27-077,,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Leganes,6.0
14,Adrià Altimira,es ESP,"DF,FW",23-225,,5,434.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,9.0,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Leganes,7.0
15,Sébastien Haller,ci CIV,FW,30-139,,5,388.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,2.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.14,0.09,0.14,Matches,Leganes,7.0
16,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",26-133,,4,331.0,3.7,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.4,0.7,5.0,15.0,12.0,0.0,0.54,0.54,0.0,0.54,0.1,0.1,0.19,0.1,0.19,Matches,Leganes,8.0
17,Dani Raba,es ESP,"FW,MF",29-010,,4,275.0,3.1,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,0.8,1.0,7.0,8.0,16.0,0.0,0.65,0.65,0.0,0.65,0.31,0.27,0.58,0.06,0.33,Matches,Leganes,6.0
18,Roberto López,es ESP,MF,24-198,,3,356.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.7,1.2,3.0,19.0,9.0,0.0,0.25,0.25,0.0,0.25,0.12,0.19,0.31,0.12,0.31,Matches,Leganes,8.0
19,Munir El Haddadi,ma MAR,"MF,FW",29-068,,2,212.0,2.4,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.2,4.0,7.0,11.0,0.42,0.0,0.42,0.42,0.42,0.01,0.08,0.09,0.01,0.09,Matches,Leganes,7.0
20,Diego,es ESP,"FW,MF",24-204,,2,185.0,2.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.6,2.0,3.0,14.0,0.49,0.0,0.49,0.49,0.49,0.28,0.04,0.31,0.28,0.31,Matches,Leganes,6.0
21,Aritz Arambarri,es ESP,DF,26-282,,2,177.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Leganes,2.0
22,Julián Chicco,ar ARG,MF,26-300,,1,119.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,Matches,Leganes,4.0
23,Álvaro Abajas,es ESP,GK,21-180,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leganes,0.0
24,Lalo Aguilar,es ESP,DF,22-150,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leganes,0.0
25,Álex Gil,es ESP,MF,21-277,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leganes,0.0
26,Carlos Guirao,es ESP,MF,21-195,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leganes,0.0
27,Jackson Porozo,ec ECU,DF,24-096,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leganes,0.0
28,João Urbáez,do DOM,DF,22-107,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Leganes,0.0
29,Squad Total,,,28.0,,132,1080.0,12.0,12.0,12.0,24.0,12.0,0.0,1.0,26.0,0.0,8.5,7.7,6.2,13.9,131.0,324.0,322.0,1.0,1.0,2.0,1.0,2.0,0.71,0.52,1.23,0.64,1.16,,Leganes,12.0
30,Opponent Total,,,27.8,,132,1080.0,12.0,14.0,9.0,23.0,12.0,2.0,2.0,25.0,0.0,18.4,16.8,13.1,29.9,244.0,527.0,520.0,1.17,0.75,1.92,1.0,1.75,1.53,1.09,2.62,1.4,2.49,,Leganes,12.0
0,David Soria,es ESP,GK,31-219,,12,1080.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Getafe,12.0
1,Luis Milla,es ESP,MF,30-033,,12,1064.0,11.8,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.2,0.4,1.4,1.8,17.0,63.0,10.0,0.08,0.08,0.17,0.0,0.08,0.1,0.12,0.22,0.03,0.15,Matches,Getafe,12.0
2,Djené,tg TOG,DF,32-314,,12,947.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.1,0.1,0.4,0.5,6.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches,Getafe,12.0
3,Omar Alderete,py PAR,DF,27-319,,11,990.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.8,1.2,11.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.1,0.03,0.1,Matches,Getafe,11.0
4,Diego Rico,es ESP,DF,31-260,,11,987.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.7,1.0,15.0,42.0,36.0,0.0,0.09,0.09,0.0,0.09,0.02,0.07,0.09,0.02,0.09,Matches,Getafe,12.0
5,Chrisantus Uche,ng NGA,"FW,MF",21-174,,11,908.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.8,1.8,0.2,2.1,17.0,16.0,59.0,0.1,0.0,0.1,0.1,0.1,0.18,0.02,0.2,0.18,0.2,Matches,Getafe,12.0
6,Alex Sola,es ESP,"MF,FW",25-153,,11,828.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.7,1.6,17.0,19.0,42.0,0.0,0.11,0.11,0.0,0.11,0.1,0.07,0.18,0.1,0.18,Matches,Getafe,12.0
7,Carles Pérez,es ESP,"MF,FW",26-267,,10,824.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.2,1.2,1.0,2.2,21.0,10.0,43.0,0.0,0.0,0.0,0.0,0.0,0.13,0.11,0.24,0.13,0.24,Matches,Getafe,12.0
8,Iglesias,es ESP,DF,26-129,,9,851.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,1.0,1.2,10.0,23.0,25.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches,Getafe,12.0
9,Mauro Arambarri,uy URU,MF,29-040,,8,738.0,8.2,4.0,0.0,4.0,2.0,2.0,2.0,4.0,0.0,2.6,1.1,0.1,1.2,4.0,17.0,10.0,0.49,0.0,0.49,0.24,0.24,0.32,0.01,0.34,0.13,0.14,Matches,Getafe,12.0
10,Bertuğ Yıldırım,tr TUR,FW,22-120,,8,626.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.8,2.4,3.0,8.0,27.0,0.14,0.0,0.14,0.14,0.14,0.23,0.12,0.35,0.23,0.35,Matches,Getafe,9.0
